name,country,born_year,born_place,years_of_active,filmography
Bekim Fehmiu ,Albania,1936,"Sarajevo, Kingdom of Yugoslavia",1953–1998,"Subotom uvece, Tu ne tueras point, Saša, Pod isto nebo, Devojka, Klakson, Neprijatelj, Ko puca otvoriće mu se, Morgan: A Suitable Case for Treatment, Roj, Vreme ljubavi, Tople godine, I Even Met Happy Gypsies, Protest, Uzrok smrti ne pominjati, The Adventurers, The Deserter, Klopka za generala, The Last Snows of Spring, Il gioco della verità, Deps, Il testimone deve tacere, Košava, Cagliostro, Libera, amore mio..., Pavle Pavlović, Permission to Kill, Salon Kitty, Disposta a tutto, Black Sunday, Special Education, Stići pre svitanja, Partizanska eskadrila, Široko je lišće, Sarâb, La Voce, Pavilón seliem, Crveni i crni, Genghis Khan"
Erbi Ago ,Albania,1990,"Tirana, Albania",2008–present,"Messengers 2: The Scarecrow, Ghost Town, Lightning Strikes, Arctic Predator"
James Belushi ,Albania,1954,"Wheaton, Illinois",1977–present,"The Fury, The Cleansing, Thief, Sugar or Plain, Trading Places, The Man with One Red Shoe, Salvador, Bernie Litko, Sperry Repair Man, Patrick Martin, The Principal, Nick Pirandello, Red Heat, Who's Harry Crumb?, Detective Michael Dooley, Homer Lanza, Reverend, Dimenticare Palermo, Jimmy Dworski, 'Gypsy', Larry Joseph Burrows, Abraxas, Guardian of the Universe, Officer Sal Buonarte, Shandy, Bill Dancer, Once Upon a Crime, Jack Dobson, Last Action Hero, The Pebble and the Penguin, Tuerto, Charles Jackal, Tom Beckwith, Race the Sun, Mall Santa, Retroactive, Harrison/Oliver, Mario, Cornelius Goode, Detective Franklin ""Frank"" Divinci, Gonzargo, Himself, Overnight Delivery, Angel's Dance, Billy Belasco, Bill 'The Mouth' Manucci, Takashi Yamada, Reginald The Mouse King[37], Return to Me, Joe Somebody, Snow Dogs, Harry Wooltz, The Farmer, Tapir/Little Magnus, Easy Six, DysEnchanted, Tugger: The Jeep 4x4 Who Wanted to Fly, Kirk, Behind the Smile, Benny, Frank, Farce of the Penguins, Santa Claus, Dan Unger, Scooby-Doo! and the Goblin King, The Ghost Writer, Cougars, Inc., Building Super, Thunderstruck, Legends of Oz: Dorothy's Return, Bronko, Home Sweet Hell, The Whole Truth, Diaz, Jim, 'Bear', A Change of Heart, Carol, Humpty, Gigi & Nate, Fight Another Day, The Chronology of Water, TBA"
James Biberi ,Albania,1965,"Gjakova, Kosovo",1993–present,"Amongst Friends, Clouds of Magellan, Made Men, Buddy Faro, Fast Food Fast Women, Recipe for Disaster, Analyze That, National Treasure, Diamonds, Bullets & Fate, The Producers, Find Me Guilty, Distraction, The Hoax, Purple Violets, Gracie, The Brave One, Coach, Drive, Dead Man Down, The Girl on the Train, Amsterdam Express, Ocean's 8, Locked In"
John Belushi ,Albania,1949,"Chicago, Illinois",1972–1982,"Tarzoon: Shame of the Jungle, Animal House, Deputy Hector, Old Boyfriends, Captain Bill ""Wild Bill"" Kelso, The Blues Brothers, Continental Divide, Earl Keese"
Kadri Roshi ,Albania,1924,"r, Albania",1945–2002,"Tana, I Teti në Bronx, Kur Zbardhi një ditë, Malet me blerim mbuluar, Lulëkuqet mbi Mure, Tokë e Përgjakur, Fijet që priten, Përballimi, Zemrat që nuk plaken, Shembja e idhujve, Gjeneral Gramafoni, Liri a vdekje, Këshilltarët, Ballë për ballë, Ushtari i vogël Velo, Dëshmorët e monumenteve, Era e ngrohtë e thellësive, Apasionata, Fejesa e Blertës, Rrethimi i vogël, Kur ndahesh nga shokët, Rekonstruksioni, Pesha e kohës, Fletë të bardha, Vdekja e burrit, Një ditë nga një jetë, Kolonel Bunker"
Marie Logoreci ,Albania,1920,"r, Principality of Albania",1945–1978,"The Great Warrior Skanderbeg, Fëmijet e saj, Tana, Detyrë e posaçme, Toka jonë, Oshëtimë në bregdet, Njësiti guerril, Operacioni Zjarri, Gjenerali i Ushtrisë së Vdekur, TV, Nga mesi i errësirës, Dollia e dasmës sime, Çeta e vogël"
Masiela Lusha ,Albania,1985,"Tirana, PSR Albania",1998–present,"Father's Love, Las muertas de Jaurez, Cherry Bomb, Time of the Comet, Blood: The Last Vampire, Ballad of Broken Angels: Harmony, Kill Katie Malone, The Architect, Dragonfyre, Of Silence, Fatal Instinct, Branded"
Naim Frashëri ,Albania,1923,"Leskovik, Principality of Albania",1945-1981,"Skënderbeu.... Pali[4], Fëmijët e saj.... Mësuesi, Tana.... Stefani, Furtuna.... Qemali, Ngadhnjim mbi vdekjen.... Hans von Shtolc, Plagë të vjetra.... Doktor Pëllumbi, Gjurma.... Doktor Artani"
Ndriçim Xhepa ,Albania,1957,"Tirana, PR Albania",1981–present,"Pranvere e paharruar ne fshatin e harruar.... Drejtori i shkolles, The Delegation, Lutjet e dashurisë – Kronikë provinciale....Zeneli, Lindje, Perëndim, Lindje –, Sekretet –, Eduart –, Omiros –, I dashur armik –.... Harun, Porta Eva –.... David, Dasma e Sakos –, Përdhunuesit –, Loin des barbares –.... Selmani, Plumbi prej plasteline –, Pas fasadës –, Enigma –, Unë e dua Erën –, Kthimi i Ushtrise se Vdekur –, Flutura në kabinen time –, Treni niset më shtatë pa pesë –.... Astriti, Telefoni i një mëngjesi –, Tri ditë nga një jetë –, Hije që mbeten pas- , Të mos heshtësh –, Enveri ynë – 1985), Vendimi –.... Veroniku, Duaje emrin tënd –, Kohë e largët –.... Andrea Selca, Shokët –, Rruga e lirisë –.... Korabi"
Nik Xhelilaj ,Albania,1983,"Tirana, Albania",2005–present,"Lekë Seriani, Koli, Arben Shehu, Ernest, Young Boris, Benjamin, Mehmet, Jan, Shpëtim, Kujtim, Börke, Falke, Flamur, Maksimilian Murati"
Sulejman Pitarka ,Albania,1924,"Diber, Principality of Albania",1945–2005,"Loin des barbares, Vdekja e burrit, Historiani dhe kameleoni, Nata e parë e lirisë, Në prag të lirisë, Shtëpia jonë e përbashkët, Goditja, Ballë për ballë, Gjeneral gramafoni, Pas gjurmëve, Gunat mbi tela, Tinguj lufte, Horizonte të hapura, Debatik, The Great Warrior Skanderbeg, Nxenesit e klases sime "
Tinka Kurti ,Albania,1932,"Sarajevo, Bosnia and Herzegovina",1948–present,"Sophia – 2022, Bota – 2014, Në kërkim të kujt – 2012, Alive – 2009, Familjet– 2009, Ne dhe Lenini– 2009, Mira – 2008/II, Etjet e Kosovës– 2006, Nata– 1998, Zemra e nënës– 1995, Në emër të lirisë– 1987, Hije që mbeten pas1985, Besa e kuqe– 1982, Qortimet e vjeshtës– 1982, Si gjithë të tjerët1981, Mëngjeze të reja– 1980, Nusja– 1980, Gjeneral gramafoni– 1978, Vajzat me kordele të kuqe– 1978, Emblema e dikurshme – 1976, Çifti i lumtur– 1975, Lumë drite– 1975, Operacion Zjarri– 1973, Yjet e netëve të gjata –– 1972, Guximtarët– 1970, Tana– 1958"
Victor Gojcaj ,Albania,1983,"Detroit, Michigan",2009-present,"The Taking of Pelham 123, Unstoppable, The Forger, Gotti, Ambulance"
Violeta Manushi ,Albania,1926,"Moscopole, First Albanian Republic",1958–2005,"Trishtimi i zonjës Shnajder, Eja!, Rrethimi i vogël, Pallati 176, Taulanti kërkon një motër, Një vonesë e vogël, Përtej mureve të gurta, Një shoqe nga fshati, Zemrat që nuk plaken, Zonja nga qyteti, Gjenerali i ushtrisë së vdekur, Mimoza llastica, Gjurma, Plagë të vjetra, Përse bie kjo daulle, Vitet e para, Debatik, Tana"
Yllka Mujo ,Albania,1953,"Tirana, Albania",1970–present,"I teti në bronz, Malet me blerim mbuluar, Beni ecën vetë, Rrugicat që kërkonin diell, Zonja nga qyteti, Kur hidheshin themelet, Taulanti kërkon një motër, Rikonstruksioni, Shpella e piratëvet, Lettere al vento, Lule të kuqe, lule të zeza, Honeymoons, Shqiptari, Përballë"
Adrienne Barbeau,Armenia,1945,"Sacramento, California",1968–present,"The Fog, Escape from New York, The Cannonball Run, Swamp Thing, The Thing, Creepshow, The Next One, Terror in the Aisles, Back to School, Open House, Cannibal Women in the Avocado Jungle of Death, The Easter Story, Two Evil Eyes, Father Hood, Demolition Man, Silk Degrees, Judge Dredd, Scooby-Doo on Zombie Island, A Wake in Providence, Across the Line, The Convent, No Place Like Home, Ghost Rock, Halloween, Unholy, Fly Me to the Moon, Valerie, Alice Jacobs Is Dead, Complacent, Argo, Divine Access, ISRA 88, Death House, Big Legend, For the Love of Jessee, Unearth, Hellblazers, Early Retirement, Oddities, Watchmen Chapter 1, The Pitch-Fork, Kindling"
Akim Tamiroff,Armenia,1899,"Tiflis or Baku, Russian Empire",1919–1972,"Okay, America!, Clear All Wires!, Fugitive Lovers, Riccori, Paul Wengler, Peter Korotoff, Mr. Slavko, Pablo, Granin, General Salazaro, Manager of Hotel, The Lives of a Bengal Lancer, Le Turc, Giuseppe, Tony, Rudolpho, Sokolsky, Chef At Wedding, Mexican In La Cucaracha Cantina, Cafe Manager, Paul Romanoff, Spellek, Boris, Taxi Driver, Mirov, The Story of Louis Pasteur, Major Avilia, Joe Ramirez De La Valle, Carlo Cibo, General Yang, Karen Neg, Unknown, Her Husband Lies, Ogareff, Steve Kalkas, The Great Gambini, Joe Varese, Tartar Chieftain, The Buccaneer, Stephan Recka, ""Red"" Skain, Mike Balan, Paris Honeymoon, Frank Baturin, Fiesta, Jules LaCroix / President Alvarado, Tony, The Window Washer, Dr. ""Tubby"" Forster, The Way of All Flesh, Joe Easter, The Boss, Dan Duroc, Mio Pio, New York Town, Baron Colonna, Reap the Wild Wind, Pablo, Five Graves to Cairo, Pablo, Popoff, The Miracle of Morgan's Creek, Uncle Pio, Wu Lien, Prince Gregory Stroganovsky, Pardon My Past, A Scandal in Paris, Fiesta, Nick Jammey, My Girl Tisa, Joe Faringo, Outpost in Morocco, Gitano, Desert Legion, They Who Dare, The President of Agraria, Cartouche, Carlo Serra, Jakob Zouk, The Black Sleep, Boris Andreevich Chernov, Yangtse Incident: The Story of H.M.S. Amethyst, Touch of Evil, Szabuniewicz, Desert Desperadoes, Ocean's 11, La moglie di mio marito, Teiresias, Vadim Romanoff, The Director, 'O Zingaro, Khan of the Tartars, Invasion 1700, Bishop Durso, Bloch, Gnaeus Pompeius, The Black Tulip, Pandowski, Gerven, The Cook, Bakker / Brandmeester, Le bambole, Schomberg, Frank Kramer, Henri Dickson, The Old Man of the Mountain, Professor Lambaré / Dr. Kha, Sheriek, Adultery Italian Style, Tanamashu, Cesare, Okra, Joe Montano, Anniello, The Vulture, Basilio, Unknown, O tutto o niente, Uncle Egidio, Sergeant, 100 Rifles, Du Harpin, Papa, Inspector Mehdaloun, Don Quixote"
Amasi Martirosyan,Armenia,1897,"Yerevan, Armenia",1925–1963,"Namusas Smbat, Zareas Zurba, Khaspushas Mulla, Zangezuras Dashnak officer, The Song of First Loveas Guard"
Andrea Martin,Armenia,1947,"Portland, Maine",1970–present,"Foxy Lady, Cannibal Girls, Black Christmas, Wholly Moses!, Soup for One, Club Paradise, Innerspace, Martha, Ruth and Edie, Kathy Tudor, Rude Awakening, Claire Broudy, Too Much Sun, Stepping Out, Olivia, Bag Lady, Itsy Bitsy Spider, Grandma, Gypsy, Bogus, Anastasia, Liz Butsky, The Rugrats Movie, Muriel, Bartok the Magnificent, Believe, Professor, Hedwig and the Angry Inch, Lunchlady Harriet, Dr. Ellen Wyckoff, Ms. Fowl, My Big Fat Greek Wedding, New York Minute, The Producers, The TV Set, Anda, Mrs. Bommley, Mrs. Grace Melrose, Barbara 'Ms. Mac' MacHenry, Barbie as the Island Princess, The Toe Tactic, Breaking Upwards, BuzzKill, Stage Zelda, Anna, Night at the Museum: Secret of the Tomb, My Big Fat Greek Wedding 2, Hungry Tiger, They Shall Not Perish, Diane, Franca, My Big Fat Greek Wedding 3"
